index,x,y_elevation,z,cumulative_length_m
267,-165.1952362060547,-6.135680675506592,-7.347601413726807,423.4449768066406
268,-165.04527282714844,-6.127144813537598,-8.840682983398438,424.9456481933594
269,-164.89540100097656,-6.118743896484375,-10.333784103393555,426.4463195800781
270,-164.7457275390625,-6.109233856201172,-11.826857566833496,427.94696044921875
271,-164.5962371826172,-6.098639965057373,-13.319969177246094,429.4476318359375
272,-164.44696044921875,-6.087701320648193,-14.81320858001709,430.9483947753906
273,-164.29795837402344,-6.077492713928223,-16.306665420532227,432.4493713378906
274,-164.1489715576172,-6.069944858551025,-17.800281524658203,433.9504699707031
275,-163.9999237060547,-6.06392765045166,-19.29391860961914,435.45159912109375
276,-163.8509979248047,-6.058953762054443,-20.787574768066406,436.9527282714844
277,-163.7023162841797,-6.0523362159729,-22.281204223632812,438.45379638671875
278,-163.5536346435547,-6.044456481933594,-23.774831771850586,439.9548645019531
279,-163.4047393798828,-6.0359063148498535,-25.268415451049805,441.4559326171875
280,-163.2556915283203,-6.027669429779053,-26.7618350982666,442.95684814453125
281,-163.1066436767578,-6.019796848297119,-28.2548885345459,444.4573974609375
282,-162.95753479003906,-6.012619972229004,-29.74748420715332,445.9574890136719
283,-162.7957763671875,-6.004214286804199,-31.363710403442383,447.58184814453125
284,-162.63385009765625,-5.99515438079834,-32.97895812988281,449.20526123046875
285,-162.4716033935547,-5.985288619995117,-34.59283447265625,450.82733154296875
286,-162.30967712402344,-5.97505521774292,-36.20531463623047,452.447998046875
287,-162.14828491210938,-5.966097831726074,-37.816287994384766,454.0671081542969
288,-161.9879608154297,-5.9589409828186035,-39.425743103027344,455.6846008300781
289,-161.82894897460938,-5.952281475067139,-41.033599853515625,457.3003845214844
