t_s,car_x,car_z,e_y_m,e_psi_rad,theta_ref0_deg,theta_real_deg,theta_dot_kf_degs,theta_dot_raw_degs,error_deg,tau_Nm,speed_kmh,kappa_avg,loop_dt_ms
8.128,34.579,759.443,0.1975,-0.00663,0.394,0.455,-6.406,0.0,-0.061,-0.0034,67.79,0.001157,10.05
8.179,34.495,760.348,0.1917,-0.00709,-0.002,0.503,-5.286,0.0,-0.505,0.0344,68.49,0.000948,10.74
8.234,34.405,761.32,0.1849,-0.00683,-0.034,0.524,0.968,0.0,-0.558,-0.0022,69.2,0.000948,14.72
8.281,34.313,762.301,0.1783,-0.00669,0.996,0.535,0.404,0.0,0.461,-0.0006,69.9,0.00094,11.66
8.335,34.215,763.351,0.1719,-0.00745,0.603,0.607,0.221,0.0,-0.004,0.0089,70.59,0.000955,14.75
8.383,34.131,764.234,0.1654,-0.00708,0.521,0.64,1.445,0.0,-0.119,-0.0029,71.27,0.000955,12.12
8.435,34.035,765.243,0.1585,-0.00648,0.618,0.637,0.662,0.0,-0.019,-0.0038,71.94,0.001662,14.39
8.484,33.932,766.323,0.152,-0.00692,0.831,0.738,-0.054,0.0,0.093,0.0143,72.62,0.001913,13.33
8.532,33.846,767.231,0.1458,-0.0066,0.765,0.812,2.005,0.0,-0.047,-0.0001,73.3,0.001913,10.4
8.585,33.74,768.331,0.1387,-0.00665,0.898,0.834,1.486,0.0,0.064,-0.0047,73.92,0.003042,13.36
8.637,33.639,769.377,0.1322,-0.00657,1.194,0.826,0.436,0.0,0.368,-0.0033,74.42,0.003081,14.78
8.681,33.536,770.43,0.1256,-0.00595,1.018,0.763,-0.149,0.0,0.255,-0.008,74.92,0.003081,8.42
8.737,33.444,771.365,0.1202,-0.006,0.379,0.672,-1.26,0.0,-0.293,-0.0061,75.29,0.003132,14.09
8.787,33.34,772.428,0.1141,-0.00547,0.532,0.538,-1.824,0.0,-0.005,-0.0092,75.41,0.002653,13.61
8.838,33.228,773.552,0.109,-0.00609,0.479,0.425,-2.686,0.0,0.054,-0.0017,75.24,0.003052,14.33
8.886,33.123,774.611,0.1027,-0.00573,0.4,0.332,-2.256,0.0,0.068,-0.0011,75.05,0.003052,12.51
8.937,33.03,775.543,0.0977,-0.00595,0.4,0.272,-1.857,0.0,0.128,0.0014,74.85,0.004436,13.62
8.989,32.924,776.597,0.0923,-0.00665,0.266,0.335,-1.192,0.0,-0.069,0.015,74.64,0.00405,15.2
9.036,32.812,777.71,0.0851,-0.00629,0.193,0.376,1.249,0.0,-0.184,-0.0007,74.46,0.00405,11.78
9.091,32.706,778.757,0.0786,-0.00718,0.84,0.546,0.831,0.0,0.294,0.0193,74.25,0.004854,16.1
9.14,32.613,779.679,0.0734,-0.00844,1.364,0.786,3.384,0.0,0.578,0.0158,74.05,0.004837,15.3
9.187,32.5,780.783,0.0643,-0.00791,1.248,0.908,4.804,0.0,0.34,-0.0081,73.86,0.004837,11.39
9.238,32.393,781.822,0.0564,-0.00872,1.605,0.936,2.448,0.0,0.669,-0.0089,73.57,0.004981,12.74
9.29,32.287,782.856,0.0484,-0.00959,1.131,0.788,0.555,0.0,0.343,-0.0235,73.27,0.005375,14.49
9.337,32.186,783.825,0.0393,-0.00911,1.041,0.635,-2.956,0.0,0.406,-0.0059,72.88,0.005375,11.18
9.393,32.079,784.849,0.0303,-0.01014,1.211,0.476,-3.055,0.0,0.735,-0.0063,72.43,0.005885,15.95
9.446,31.973,785.866,0.0215,-0.01227,0.718,0.514,-3.194,0.0,0.205,0.022,72.02,0.006137,19.07
9.492,31.873,786.818,0.0098,-0.01204,0.751,0.592,0.762,0.0,0.159,0.0069,71.65,0.006137,14.83
9.547,31.761,787.885,-0.0027,-0.01435,1.713,1.044,1.562,0.0,0.669,0.055,71.37,0.006465,19.5
9.594,31.667,788.771,-0.012,-0.01853,3.351,1.977,9.046,0.0,1.374,0.0829,71.18,0.006295,16.19
9.64,31.554,789.831,-0.0313,-0.01749,3.135,2.596,18.657,0.0,0.54,-0.0113,71.0,0.006295,11.49
9.693,31.446,790.829,-0.0474,-0.02074,5.143,3.143,12.375,0.0,2.0,0.0116,70.82,0.006605,14.42
9.742,31.344,791.767,-0.0626,-0.02384,5.998,3.775,10.945,0.0,2.223,0.0309,70.65,0.007146,13.36
9.791,31.233,792.76,-0.0855,-0.02183,5.451,4.055,12.642,0.0,1.396,-0.0271,70.47,0.007146,11.62
9.846,31.12,793.751,-0.1051,-0.02365,4.639,4.216,5.595,0.0,0.423,-0.0068,70.28,0.007264,16.75
9.891,31.013,794.68,-0.1263,-0.02127,3.957,4.13,3.223,0.0,-0.173,-0.0289,69.87,0.007264,11.12
9.945,30.898,795.654,-0.1468,-0.02387,5.81,4.408,-1.722,0.0,1.402,0.0478,68.59,0.007506,14.3
9.997,30.777,796.662,-0.1676,-0.02866,7.176,5.374,5.557,0.0,1.802,0.1058,66.91,0.007692,16.24
10.043,30.663,797.588,-0.1932,-0.02635,6.79,6.0,19.325,0.0,0.79,-0.0137,65.16,0.007692,11.79
10.094,30.564,798.385,-0.2121,-0.02921,8.497,6.759,12.527,0.0,1.738,0.0404,63.5,0.007971,13.01
10.144,30.442,799.327,-0.2378,-0.02429,6.757,6.788,15.182,0.0,-0.03,-0.0755,63.24,0.007971,12.84
10.198,30.323,800.213,-0.2582,-0.02709,8.019,6.967,0.566,0.0,1.053,0.0221,63.02,0.008023,16.1
10.246,30.207,801.044,-0.2744,-0.02917,8.62,7.38,3.585,0.0,1.239,0.0389,62.84,0.00808,13.59
10.296,30.08,801.924,-0.298,-0.02341,6.472,6.998,8.267,0.0,-0.526,-0.0966,62.7,0.00808,13.53
10.349,29.947,802.802,-0.3138,-0.02501,6.683,6.664,-7.641,0.0,0.019,-0.0066,62.73,0.007919,15.54
10.398,29.818,803.629,-0.3326,-0.01939,4.503,5.856,-6.676,0.0,-1.354,-0.0779,62.78,0.007919,14.34
10.45,29.675,804.507,-0.3469,-0.02265,5.716,5.593,-16.163,0.0,0.123,0.0478,62.8,0.007876,16.17
10.495,29.529,805.384,-0.3584,-0.02668,7.135,6.183,-5.268,0.0,0.952,0.11,62.79,0.007841,11.31
10.548,29.378,806.261,-0.3802,-0.02197,5.385,6.127,11.811,0.0,-0.742,-0.0697,62.79,0.007841,13.83
10.596,29.232,807.085,-0.3915,-0.02713,7.889,6.499,-1.123,0.0,1.39,0.0578,62.81,0.00771,11.66
10.648,29.073,807.961,-0.4137,-0.02232,6.101,6.355,7.44,0.0,-0.255,-0.0591,62.82,0.00771,13.56
10.698,28.91,808.836,-0.4283,-0.02746,8.033,6.654,-2.885,0.0,1.379,0.0569,62.85,0.007928,13.0
10.751,28.742,809.71,-0.4507,-0.02248,6.168,6.422,5.986,0.0,-0.254,-0.0637,62.87,0.007928,15.47
10.803,28.581,810.533,-0.4665,-0.02734,7.708,6.699,-4.64,0.0,1.009,0.0629,62.92,0.007881,18.2
10.849,28.404,811.408,-0.4811,-0.0323,9.79,7.707,5.531,0.0,2.083,0.1117,62.98,0.007741,13.27
10.899,28.223,812.282,-0.5077,-0.0268,7.74,7.814,20.155,0.0,-0.073,-0.0906,63.06,0.007741,12.99
